TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS
SERUM_CREATININE,CREATS3,LB,Creatinine,Creatinine,SERUM,"CDISC: C64547_x000D_
_x000D_
The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins. (NCI)_x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDING,FINDINGS
SEVERE_ACUTE_UPPER_ABDOMINAL_PAIN,ACUTPAIN,ZA,Severe Acute Upper Abdominal Pain,Severe Acute Upper Abdominal Pain,,Severe Acute Upper Abdominal Pain,CATEGORIC FINDING,FINDINGS
SEVERITY OF PANCREATITIS,SEVPANCR,ZA,Severity of Pancreatitis,Severity of Pancreatitis,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SEX,SEX,,Sex,Sex,,"CDISC: M, F, U for Male, Female, Unknown",CATEGORIC FINDING,FINDINGS
SODIUM,SODIUM,LB,Sodium,Sodium,,Sodium CDISC: C64809,NUMERIC FINDING,FINDINGS
SODIUM_SERUM,SODIUMS,LB,Sodium,Sodium,SERUM,"CDISC code: C64809_x000D_
CDISC submission value: SODIUM_x000D_
CDISC synonym(s): Sodium_x000D_
CDISC Description: A measurement of the sodium in a biological specimen._x000D_
NCI preferred term: Sodium Measurement",NUMERIC FINDING,FINDINGS
SOURCE OF ADJUDICATED EVENT,SOURADEV,ZA,Source of Adjudicated Event,Source of Adjudicated Event,,Sponsor defined: Used for Event Adjudication_x000D_,CATEGORIC FINDING,FINDINGS
SUBJECT FASTING,YNF,LB,Subject fasting,Subject fasting,,Subject fasting,CATEGORIC FINDING,FINDINGS
SUBJECT_DIED,SUBJDIED,ZA,Subject Died,Subject Died,,Did the subject die from this severe hypoglycemic episode,CATEGORIC FINDING,FINDINGS
SYMPTOM OF PANCREATITIS 1,SYMPANC1,ZA,Symptom of Pancreatitis 1,Symptom of Pancreatitis 1,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF PANCREATITIS 2,SYMPANC2,ZA,Symptom of Pancreatitis 2,Symptom of Pancreatitis 2,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF PANCREATITIS 3,SYMPANC3,ZA,Symptom of Pancreatitis 3,Symptom of Pancreatitis 3,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF UNSTABLE ANGINA PECTORIS 1,SYMUNMI1,ZA,Symptom of Unstable Angina Pectoris 1,Symptom of Unstable Angina Pectoris 1,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF UNSTABLE ANGINA PECTORIS 2,SYMUNMI2,ZA,Symptom of Unstable Angina Pectoris 2,Symptom of Unstable Angina Pectoris 2,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF UNSTABLE ANGINA PECTORIS 3,SYMUNMI3,ZA,Symptom of Unstable Angina Pectoris 3,Symptom of Unstable Angina Pectoris 3,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
SYMPTOM OF UNSTABLE ANGINA PECTORIS 4,SYMUNMI4,ZA,Symptom of Unstable Angina Pectoris 4,Symptom of Unstable Angina Pectoris 4,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
THROMBOCYTES_BLOOD,PLATB,LB,Platelets,Thrombocytes,BLOOD,"CDISC code: C51951_x000D_
CDISC submission value: PLAT_x000D_
CDISC synonym(s): Platelets_x000D_
CDISC Description: A measurement of the platelets in a biological specimen._x000D_
NCI preferred term: Platelet Count",NUMERIC FINDING,FINDINGS
TM01_01_PAIN_FREE_WALKING_DISTANCE_ON_FLAT_TREADMILL,TM0101,FT,Treadmill - Pain-Free Walking Distance on Flat Treadmill,Treadmill - Pain-Free Walking Distance on Flat Treadmill,,Treadmill assessments - Pain-free walking distance on flat treadmill,NUMERIC FINDING,FINDINGS
TM01_02_PAIN_FREE_WALKING_DISTANCE_ON_INCLINED_TREADMILL,TM0102,FT,Treadmill - Pain-Free Walking Distance on Inclined Treadmill,Treadmill - Pain-Free Walking Distance on Inclined Treadmill,,Treadmill assessments - Pain-free walking distance on inclined treadmill,NUMERIC FINDING,FINDINGS
TM01_03_MAX_WALKING_DISTANCE_ON_INCLINED_TREADMILL,TM0103,FT,Treadmill - Max Walking Distance on Inclined Treadmill,Treadmill - Max Walking Distance on Inclined Treadmill,,Treadmill assessments - Max. walking distance on inclined treadmill,NUMERIC FINDING,FINDINGS
TOAST_CLASSIFICATION,TOASTCL,ZA,TOAST Classification,TOAST Classification,,"Ischemic stroke classification according to the Trial of Org 10172 in Acute Stroke Treatment (TOAST) classification (Table 1) The classification is based on clinical features and on data collected by test results such as brain imaging (CT/CTA/MRI/MRA), cardiac imaging (transthoracal echocardiography, transoesophageal echocardiography, 24-hour Holter monitoring, cardiac CT), duplex ultrasound scanning of extracranial arteries, arteriography, and laboratory assessments for a prothrombotic state.",CATEGORIC FINDING,FINDINGS
TOTAL_PROTEIN_SERUM,PROTS,LB,Protein,Total Protein,SERUM,"CDISC submission value: PROT_x000D_
CDISC code: C64858_x000D_
CDISC synonym: Protein_x000D_
CDISC: A measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in a biological specimen.",NUMERIC FINDING,FINDINGS
TYPE OF HEART FAILURE,TYHHEAFA,ZA,Type of Heart Failure,Type of Heart Failure,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
TYPE OF MYOCARDIAL INFARCTION,TYMYOINF,ZA,Type of Myocardial Infarction,Type of Myocardial Infarction,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
TYPE OF STROKE,TYSTROKE,ZA,Type of Stroke,Type of Stroke,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
T_LEUCOCYTES_C_BLOOD,WBCB,LB,Leukocytes,Leukocytes,BLOOD,"CDISC code: C51948_x000D_
CDISC submission value: WBC_x000D_
CDISC synonym(s): Leukocytes; White Blood Cells_x000D_
CDISC Description: A measurement of the leukocytes in a biological specimen._x000D_
NCI preferred term: Leukocyte Count",NUMERIC FINDING,FINDINGS
UNCONSCIOUS_COMA,UNCOCOMA,ZA,Unconscious/Coma,Unconscious/Coma,,Was the subject unconscious/in coma,CATEGORIC FINDING,FINDINGS
UNDETERMINED_ETIOLOGY_REASON,UNDETIRE,ZA,Undetermined Etiology Reason,Undetermined Etiology Reason,,"If TOAST classification is undetermined cause, Reason for undetermined etiology_x000D_",CATEGORIC FINDING,FINDINGS
UNDETERM_DEATH_SOURCE_INFO,UNDESOUR,ZA,Details in Source Data,Details in Source Data,,Details in source data when outcome is undetermined cause of death,CATEGORIC FINDING,FINDINGS
URINE_CULTURE,URNCULRU,LB,Urine Culture,Urine Culture,URINE,"A urine culture is used to diagnose a urinary tract infection (UTI) and to identify the bacteria or yeast._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDING,FINDINGS
URINE_MICROSCOPY,URNMICOU,LB,Microscopy,Urine Microscopy,URINE,This test looks at a sample of  urine under a microscope.,TEXTUAL FINDING,FINDINGS
URINE_SAMPLES_COLLECTED,URINECLU,LB,Have all urine samples been taken,Have all urine samples been taken,URINE,"<CodeLists>_x000D_
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""URINE""></CodeList>_x000D_
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>_x000D_
</CodeLists>_x000D_
Have all urine samples been taken?",CATEGORIC FINDING,FINDINGS
UROBILINOGEN_URINE,UROBILU2,LB,Urobilinogen,Urobilinogen,URINE,"CDISC:A measurement of the urobilinogen in a biological specimen._x000D_
CDISC synonym: Urobilinogen_x000D_
CDISC preferred term: UROBIL_x000D_
CDISC code: C64816",CATEGORIC FINDING,FINDINGS
UROBIL_UR,UROBILU,LB,Urobilinogen,Urobilinogen urine,URINE,"Sponsordefined: The investigators evaluation of a  measurement of the urobilinogen in urine._x000D_
_x000D_
CDISC Code: C64816_x000D_
CDISC Submission Value: UROBIL_x000D_
CDISC Synonym(s): Urobilinogen_x000D_
CDISC Definition: A measurement of the urobilinogen in a biological specimen._x000D_
NCI Preferred Term: Urobilinogen Measurement",CATEGORIC FINDING,FINDINGS
WAIST_CIRCUMFERENCE,WSTCIR,VS,Waist Circumference,Waist Circumference,,"CDISC code: C100948_x000D_
CDISC submission value: WSTCIR_x000D_
CDISC synonym(s): Waist Circumference_x000D_
CDISC Description: The distance around an individual's midsection or waist._x000D_
NCI preferred term: Waist Circumference",NUMERIC FINDING,FINDINGS
WBC,WBC,LB,Leukocytes,White Blood Cells,,"A measurement of the leukocytes in a biological specimen._x000D_
NCI preferred term: Leukocyte Count",NUMERIC FINDING,FINDINGS
WBC URINE,WBCU4,LB,Leukocytes,Leukocytes in Urine,URINE,"CDISC Code: C65047_x000D_
_x000D_
A measurement of the leukocytes in a biological specimen._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDING,FINDINGS
WBC_UR,WBCU2,LB,Leukocytes,Leukocytes in urine,URINE,"Sponsordefined: The investigators evaluation of A measurement of the leukocytes in urine_x000D_
_x000D_
CDISC Code: C51948_x000D_
CDISC Submission Value: WBC_x000D_
CDISC Synonym(s): Leukocytes; White Blood Cells_x000D_
CDISC Definition: A measurement of the leukocytes in a biological specimen._x000D_
NCI Preferred Term: Leukocyte Count",CATEGORIC FINDING,FINDINGS
