"basic_std","table","column","activity_item_class","label","order","type","length","displayformat","xmldatatype","xmlcodelist","core","origin","role","term","algorithm","qualifiers","comment","IGcomment","map_var_flag","fixed_mapping","include_in_raw","nn_internal","incl_cre_domain","xmlcodelistvalues"
"Y","Interventions","__DOSU","dose_unit","Dose Units","160","C","40","","text","UNIT","Perm","Assigned","VariableQualifier","(UNIT)","","MIXEDCASE","Units for --DOSE, --DOSTOT, or --DOSTXT (Examples: ng, mg, mg/kg).","Units for --DOSE, --DOSTOT, or --DOSTXT (Examples: ng, mg, mg/kg).","Y","","Y","","Y",""
"Y","Interventions","__DOSFRM","dose_form","Dose Form","170","C","80","","text","FRM","Perm","","VariableQualifier","(FRM)","","UPPERCASE","Dose form for the treatment. Examples: TABLET, CAPSULE.","Dose form for the treatment. Examples: TABLET, CAPSULE.","Y","","Y","","Y",""
"Y","Interventions","__DOSFRQ","frequency","Dosing Frequency per Interval","180","C","40","","text","FREQ","Perm","","VariableQualifier","(FREQ)","","UPPERCASE","Usually expressed as the number of doses given per a specific interval. Examples: QD, BID, TID, QID.","Usually expressed as the number of doses given per a specific interval. Examples: Q2H, QD, PRN.","Y","","Y","","Y",""
"Y","Interventions","__DOSTOT","total_daily_dose","Total Daily Dose","190","N","8","8.3","float","","Perm","CRF","RecordQualifier","","","","Total daily dose of --TRT using the units in --DOSU. Used when dosing is collected as Total Daily Dose.","Total daily dose of --TRT using the units in --DOSU. Used when dosing is collected as Total Daily Dose.","Y","","Y","","Y",""
"Y","Interventions","__DOSRGM","dose_regimen","Intended Dose Regimen","200","C","40","","text","","Perm","","VariableQualifier","","","UPPERCASE","Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.","Text description of the (intended) schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF.","Y","","Y","","Y",""
"Y","Interventions","__ROUTE","route","Route of Administration","210","C","40","","text","ROUTE","Perm","","VariableQualifier","(ROUTE)","","UPPERCASE","Route of administration for the intervention. Examples: ORAL, INTRAVENOUS.","Route of administration for the intervention. Examples: ORAL, INTRAVENOUS.","Y","","Y","","Y",""
"Y","Interventions","__LOT","lot_number","Lot Number","220","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","Lot number for the intervention described in --TRT.","Lot number for the intervention described in --TRT.","","","","","",""
"Y","Interventions","__LOC","location","Location of Dose Administration","230","C","100","","text","LOC","Perm","","RecordQualifier","(LOC)","","UPPERCASE","Anatomical location of an intervention, such as an injection site. Example: ARM for an injection.","Anatomical location of an intervention, such as an injection site. Example: ARM for an injection.","Y","","Y","","Y",""
"Y","Interventions","__LAT","laterality","Laterality","240","C","40","","text","LAT","Perm","","VariableQualifier","(LAT)","","UPPERCASE","","Qualifier for anatomical location further detailing laterality of intervention administration. Examples: RIGHT, LEFT, BILATERAL","Y","","Y","","Y",""
"Y","Interventions","__DIR","directionality","Directionality","250","C","40","","text","DIR","Perm","","VariableQualifier","(DIR)","","UPPERCASE","","Qualifier for anatomical location further detailing directionality of intervention administration. Examples: ANTERIOR, LOWER, PROXIMAL","","","","","",""
"Y","Interventions","__PORTOT","portion","Portion or Totality","260","C","40","","text","PORTOT","Perm","","VariableQualifier","(PORTOT)","","UPPERCASE","","Qualifier for anatomical location further detailing the distribution, which means arrangement of, apportioning of the intervention administration. Examples: ENTIRE, SINGLE, SEGMENT, MANY.","","","","","",""
"Y","Interventions","__FAST","fasting_status","Fasting Status","270","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","","Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant.","Y","","Y","","",""
"Y","Interventions","__PSTRG","strength","Pharmaceutical Strength","280","N","8","8.3","float","","Perm","","VariableQualifier","","","","","Amount of an active ingredient expressed quantitatively per dosage unit, per unit of volume, or per unit of weight, according to the pharmaceutical dose form. Example: 50 mg/TABLET, 300 mg/L","","","","","",""
"Y","Interventions","__PSTRGU","strength_unit","Pharmaceutical Strength Units","290","C","80","","text","","Perm","","VariableQualifier","*","","MIXEDCASE","","Unit for --PSTRG. Example: mg/TABLET, mg/mL","","","","","",""
"Y","Interventions","__TRTV","","Treatment Vehicle","300","C","80","","text","","Perm","","RecordQualifier","","","UPPERCASE","Vehicle for administration of treatment, such as a liquid in which the treatment drug is dissolved. Example: SALINE.","Vehicle for administration of treatment, such as a liquid in which the treatment drug is dissolved. Example: SALINE.","","","","","",""
"Y","Interventions","__VAMT","","Treatment Vehicle Amount","310","N","8","8.3","float","","Perm","","RecordQualifier","","","","Amount of the treatment vehicle administered or given.","Amount of the prepared product (treatment + vehicle) administered or given. Note: should not be diluent amount alone.","","","","","",""
"Y","Interventions","__VAMTU","","Treatment Vehicle Amount Units","320","C","40","","text","","Perm","Assigned","VariableQualifierof__VAMT","","","MIXEDCASE","Units for the treatment vehicle. Examples: mL, mg.","Units for the prepared product (treatment + vehicle). Examples: mL, mg.","","","","","",""
"Y","Interventions","__ADJ","","Reason for Dose Adjustment","330","C","200","","text","","Perm","","RecordQualifier","*","","UPPERCASE","Describes reason or explanation of why a dose is adjusted. Examples ADVERSE EVENT, INSUFFICIENT RESPONSE, NON-MEDICAL REASON.","Describes reason or explanation of why a dose is adjusted. Examples ADVERSE EVENT, INSUFFICIENT RESPONSE, NON-MEDICAL REASON.","Y","","Y","","Y",""
"","NN DEFINED","CDMS_SUB_EVT_NUM","","CDMS Repeat Sequence Number","10","N","8","","integer","","Perm","","RecordQualifier","","","","","","","src.cdms_sub_evt_num","Y","Y","",""
"","NN DEFINED","SRC_ATC_CODE","","SRC ATC Code","20","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","","","","src.src_atc_code","Y","Y","",""
"","NN DEFINED","__REPNUM","","Repetition Number","30","N","8","","integer","","Perm","Assigned","RecordQualifier","","","","","The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.","","","","","",""
"","NN DEFINED","SRC_DESC","","SRC Visit Description","40","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","","","","src.src_desc","Y","Y","",""
"","NN DEFINED","SRC_ATC_TERM","","SRC ATC Term","50","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","","","","src.src_atc_term","Y","Y","",""
"","NN DEFINED","SRC_TOPIC_CD","","CDW SRC Topic Code","60","C","200","","text","","Perm","","Topic","","","","","","","src.src_topic_cd","Y","Y","",""
"","NN DEFINED","VISIT","","Visit Name","70","C","40","","text","","Perm","","Timing","","","UPPERCASE","Protocol-defined description of a clinical encounter.","Protocol-defined description of a clinical encounter.","","","","Y","",""
"","NN DEFINED","VISITNUM","","Visit Number","80","N","8","8.1","float","","Exp","Assigned","Timing","","","","Clinical encounter number. Numeric version of VISIT, used for sorting.","Clinical encounter number. Numeric version of VISIT, used for sorting.","Y","","Y","Y","",""
"","NN DEFINED","SRC_FIND_COLL_UNIT","","CDW SRC Finding Collection Unit","90","C","80","","text","","Perm","","RecordQualifier","","","","","","","src.find_coll_unit","Y","Y","",""
"","NN DEFINED","VISITDY","","Planned Study Day of Visit","100","N","8","","integer","","Perm","Assigned","Timing","","","","Based on TV.VISITDY","Planned study day of VISIT. Should be an integer.","","","","Y","",""
"","NN DEFINED","TOPIC_CD","","CDW Topic Code","110","C","80","","text","","Perm","","Topic","","","","","","","src.topic_cd","Y","Y","Y",""
"","NN DEFINED","USUBJID","","Unique Subject Identifier","120","C","60","","text","","Req","Assigned","Identifier","","","UPPERCASE","Concatenation of STUDYID and DM.SUBJID (This is a variable for internal system use)","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","*","","Y","Y","Y",""
"","NN DEFINED","SRC_RANDOM_GRP","","CDW SRC Randomisation Group","130","C","25","","text","","Perm","","RecordQualifier","","","","","","","src.src_random_grp","Y","Y","",""
"","NN DEFINED","SRC_DOSE_UNIT","","CDW SRC Dose Unit","140","C","200","","text","","Perm","","RecordQualifier","","","","","","","src.src_dose_unit","Y","Y","",""
"","NN DEFINED","SRC_DOSE_FREQ","","CDW SRC Dose Frequency","150","C","200","","text","","Perm","","RecordQualifier","","","","","","","src.src_dose_freq","Y","Y","",""
"","NN DEFINED","ETCD","","Element Code","160","C","8","","text","","Req","Assigned","RecordQualifier","*","","UPPERCASE","Set based on the SE domain","ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.","","","","","Y",""
"","NN DEFINED","ELEMENT","","Description of Element","170","C","40","","text","","Req","Protocol","RecordQualifier","*","","UPPERCASE","Set based on the SE domain","The name of the Element.","","","","","Y",""
"","NSV","__CNTMOD","","Contact Mode","10","C","40","","text","CNTMODE","Perm","CRF","RecordQualifier","(CNTMODE)","","UPPERCASE","","","Y","","Y","","",""
"","NSV","__EPADJI","","Epi/Pandemic Related Adjustment Reas Ind","20","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","","Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0","Y","","Y","","","Y"
"","NSV","__EPDSCI","","Epi/Pandemic Related Discontin Reas Ind","30","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","","Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0","Y","","Y","","","Y"
"","NSV","__EPRELI","","Epi/Pandemic Related Indicator","40","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","","Non-standard Variable from Guidance for Ongoing Studies Disrupted by COVID-19 Pandemic Version 1.0","Y","","Y","","","Y"
"","NSV","__EPCHGI","","Epi/Pandemic Related Change Indicator","50","C","2","","text","NY","Perm","CRF","RecordQualifier","(NY)","","UPPERCASE","","","Y","","Y","","","Y"
"","NSV","__REASOC","","Reason for Occur Value","60","C","200","","text","","Perm","CRF","RecordQualifier","","","UPPERCASE","","","Y","","Y","","",""
"Y","Relationship-RELREC","STUDYID","","Study Identifier","10","C","40","","text","","Req","Protocol","","","","UPPERCASE","","Unique identifier for a study","","","","","",""
"Y","Relationship-RELREC","RDOMAIN","","Related Domain Abbreviation","20","C","8","","text","","Req","Assigned","","DOMAIN","","UPPERCASE","Domain abbreviations for domains which are related to at least one other domain. Derived from parent record","Two-character abbreviation for the domain of the parent record(s)","","","","","",""
"Y","Relationship-RELREC","USUBJID","","Unique Subject Identifier","30","C","60","","text","","Exp","Assigned","","","","UPPERCASE","Concatenation of STUDYID and DM.SUBJID","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","","","","","",""
"Y","Relationship-RELREC","IDVAR","","Identifying Variable","40","C","8","","text","","Req","Assigned","","*","","UPPERCASE","Derived from parent record","Name of the identifying variable in the general- observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID.","","","","","",""
"Y","Relationship-RELREC","IDVARVAL","","Identifying Variable Value","50","C","40","","text","","Exp","Assigned","","","","UPPERCASE","Derived from parent record","Value of identifying variable described in IDVAR. If --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here.","","","","","",""
"Y","Relationship-RELREC","RELTYPE","","Relationship Type","60","C","20","","text","","Exp","Assigned","","ONE, MANY","","UPPERCASE","","Identifies the hierarchical level of the records in the relationship. Values should be either ONE or MANY. Used only when identifying a relationship between datasets (as described in Section 8.3).","","","","","",""
"Y","Relationship-RELREC","RELID","","Relationship Identifier","70","C","40","","text","","Req","Assigned","","","","UPPERCASE","Records with the same RELID value can be considered as related records","Unique value within USUBJID that identifies the relationship. All records for the same USUBJID that have the same RELID are considered ""related/associated."" RELID can be any value the sponsor chooses, and is only meaningful within the RELREC dataset to identify the related/associated Domain records.","","","","","",""
"Y","Special-Purpose-SE","SEUPDES","","Description of Unplanned Element","10","C","200","","text","","Perm","Assigned","SynonymQualifier","","","UPPERCASE","","Description of what happened to the subject during this unplanned Element. Used only if ETCD has the value of ""UNPLAN"".","","","","","",""
"Y","Special-Purpose-SE","ETCD","","Element Code","20","C","8","","text","","Req","Assigned","Topic","*","","UPPERCASE","","1. ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name. 2. If an encountered Element differs from the planned Element to the point that it is considered a new Element, then use ""UNPLAN"" as the value for ETCD to represent this Element.","","","","","",""
"Y","Special-Purpose-SE","ELEMENT","","Description of Element","30","C","40","","text","","Perm","Protocol","SynonymQualifier","*","","UPPERCASE","","The name of the Element. If ETCD has a value of ""UNPLAN"" then ELEMENT should be Null.","","","","","",""
"Y","Relationship-SUPPQUAL","STUDYID","","Study Identifier","10","C","40","","text","","Req","Protocol","","","","UPPERCASE","","Study Identifier of the Parent record(s).","","","","","",""
"Y","Relationship-SUPPQUAL","RDOMAIN","","Related Domain Abbreviation","20","C","8","","text","","Req","Assigned","","DOMAIN","","UPPERCASE","Domain abbreviations for domains which are related to at least one other domain. Derived from parent record","Two-character abbreviation for the domain of the parent record(s).","","","","","",""
"","Relationship-SUPPQUAL","SPDEVID","","Sponsor Device Identifier","30","C","40","","text","","Req","Assigned","Identifier","","","UPPERCASE","","Sponsor-defined identifier for a device","","","","","",""
"Y","Relationship-SUPPQUAL","USUBJID","","Unique Subject Identifier","40","C","60","","text","","Req","Assigned","","","","UPPERCASE","Concatenation of STUDYID and DM.SUBJID","Unique Subject Identifier of the Parent record(s).","","","","","",""
"Y","Relationship-SUPPQUAL","IDVAR","","Identifying Variable","50","C","8","","text","","Exp","Assigned","","*","","UPPERCASE","","Identifying variable in the dataset that identifies the related record(s). Examples: --SEQ, --GRPID.","","","","","",""
"Y","Relationship-SUPPQUAL","IDVARVAL","","Identifying Variable Value","60","C","40","","text","","Exp","Assigned","","","","UPPERCASE","","Value of identifying variable of the parent record(s).","","","","","",""
"Y","Relationship-SUPPQUAL","QNAM","","Qualifier Variable Name","70","C","8","","text","","Req","Assigned","","*","","UPPERCASE","","The short name of the Qualifier variable, which is used as a column name in a domain view with data from the parent domain. The value in QNAM cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST""). QNAM cannot contain characters other than letters, numbers, or underscores. This will often be the column name in the sponsor's operational dataset.","","","","","",""
"Y","Relationship-SUPPQUAL","QLABEL","","Qualifier Variable Label","80","C","40","","text","","Req","Assigned","","","","MIXEDCASE","","This is the long name or label associated with QNAM. The value in QLABEL cannot be longer than 40 characters. This will often be the column label in the sponsor's original dataset.","","","","","",""
"Y","Relationship-SUPPQUAL","QVAL","","Data Value","90","C","200","","text","","Req","CRF","","","","MIXEDCASE","","Result of, response to, or value associated with QNAM. A value for this column is required; no records can be in SUPP-- with a null value for QVAL.","","","","","",""
"Y","Relationship-RELREC","QORIG","","Origin","100","C","20","","text","","Req","Assigned","","","","MIXEDCASE","","Since QVAL can represent a mixture of collected (on a CRF), derived, or assigned items, QORIG is used to indicate the origin of this data. Examples include CRF, ASSIGNED, or DERIVED. See Section 4: 4.1.1.8, Origin Metadata.","","","","","",""
"Y","Relationship-RELREC","QEVAL","","Evaluator","110","C","40","","text","EVAL","Exp","Assigned","","*","","UPPERCASE","","Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include ADJUDICATION COMMITTEE, STATISTICIAN, DATABASE ADMINISTRATOR, CLINICAL COORDINATOR, etc.","","","","","",""
"Y","Special-Purpose-SV","SVUPDES","","Description of Unplanned Visit","10","C","200","","text","","Perm","CRF","SynonymQualifier","","","UPPERCASE","","Description of what happened to the subject during an unplanned visit.","","","","","",""
"Y","Trial__Design-TA","ARMCD","","Planned Arm Code","10","C","20","","text","","Req","Assigned","Topic","*","","UPPERCASE","","ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than that for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20.","","","","","",""
"Y","Trial__Design-TA","ARM","","Description of Planned Arm","20","C","40","","text","","Req","Protocol","SynonymQualifier","*","","UPPERCASE","","Name given to an Arm or treatment group.","","","","","",""
"Y","Trial__Design-TA","ETCD","","Element Code","30","C","8","","text","","Req","Assigned","RecordQualifier","*","","UPPERCASE","Set based on the SE domain","ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.","","","","","",""
"Y","Trial__Design-TA","ELEMENT","","Description of Element","40","C","40","","text","","Perm","Protocol","SynonymQualifier","*","","UPPERCASE","Set based on the SE domain","The name of the Element. The same Element may occur more than once within an Arm.","","","","","",""
"Y","Trial__Design-TA","TABRANCH","","Branch","50","C","200","","text","","Exp","Protocol","Rule","","","UPPERCASE","","Condition subject met, at a ""branch"" in the trial design at the end of this Element, to be included in this Arm; (e.g., randomization to DRUG X).","","","","","",""
"Y","Trial__Design-TA","TATRANS","","Transition Rule","60","C","200","","text","","Exp","Protocol","Rule","","","UPPERCASE","","If the trial design allows a subject to transition to an Element other than the next Element in sequence, then the conditions for transitioning to those other Elements, and the alternative Element sequences, are specified in this rule (e.g., Responders go to washout).","","","","","",""
"Y","Trial__Design-TD","TDORDER","","Sequence of Planned Assessment Schedule","10","N","8","","integer","","Req","","Timing","","","","","A number given to ensure ordinal sequencing of the planned assessment schedules within a trial.","","","","","",""
"Y","Trial__Design-TD","TDANCVAR","","Anchor Variable Name","20","C","8","","text","","Req","","Timing","","","UPPERCASE","","A reference to the date variable name that provides the start point from which the planned disease assessment schedule is measured. This must be a referenced from the ADaM ADSL dataset e.g. ANCH1DT. Note: TDANCVAR will contain the name of a reference date variable.","","","","","",""
"Y","Trial__Design-TD","TDSTOFF","","Offset from the Anchor","30","C","64","","text","","Req","","Timing","ISO 8601","","UPPERCASE DURATION","","A fixed offset from the date provided by the variable referenced in TDANCVAR. This is used when the timing of planned cycles does not start on the exact day referenced in the variable indicated in TDANCVAR. The value of this variable will be either zero or a positive value and will be represented in ISO 8601 character format.","","","","","",""
"Y","Trial__Design-TD","TDTGTPAI","","Planned Assessment Interval","40","C","64","","text","","Req","","Timing","ISO 8601","","UPPERCASE","","The planned interval between disease assessments represented in ISO 8601 character format.","","","","","",""
"Y","Trial__Design-TD","TDMINPAI","","Planned Assessment Interval Minimum","50","C","64","","text","","Req","","Timing","ISO 8601","","UPPERCASE","","The lower limit of the allowed range for the planned interval between disease assessments represented in ISO 8601 character format.","","","","","",""
"Y","Trial__Design-TD","TDMAXPAI","","Planned Assessment Interval Maximum","60","C","64","","text","","Req","","Timing","ISO 8601","","UPPERCASE","","The upper limit of the allowed range for the planned interval between disease assessments represented in ISO 8601 character format.","","","","","",""
"Y","Trial__Design-TD","TDNUMRPT","","Maximum Number of Actual Assessments","70","N","8","","integer","","Req","","RecordQualifier","","","","","This variable must represent the maximum number of actual assessments for the analysis that this disease assessment schedule describes. In a trial where the maximum number of assessments is not defined explicitly in the protocol (e.g. assessments occur until death) TDNUMRPT should represent the maximum number of disease assessments that support the efficacy analysis, encountered by any subject across the trial at that point in time.","","","","","",""
"Y","Trial__Design-TE","TESTRL","","Rule for Start of Element","10","C","200","","text","","Req","Protocol","Rule","","","UPPERCASE","","Expresses rule for beginning Element.","","","","","",""
"Y","Trial__Design-TE","TEENRL","","Rule for End of Element","20","C","200","","text","","Perm","Protocol","Rule","","","UPPERCASE","","Expresses rule for ending Element. Either TEENRL or TEDUR must be present for each Element.","","","","","",""
"Y","Trial__Design-TE","ELEMENT","","Description of Element","30","C","40","","text","","Req","Protocol","SynonymQualifier","*","","UPPERCASE","","The name of the Element.","","","","","",""
"Y","Trial__Design-TE","ETCD","","Element Code","40","C","8","","text","","Req","Assigned","Topic","*","","UPPERCASE","","ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.","","","","","",""
"Y","Trial__Design-TI","TIRL","","Inclusion/Exclusion Criterion Rule","10","C","200","","text","","Perm","Protocol","Rule","","","UPPERCASE","","Rule that expresses the criterion in computer-executable form (see assumption 4 below).","","","","","",""
"Y","Trial__Design-TI","TIVERS","","Protocol Criteria Versions","20","C","20","","text","","Perm","Protocol","RecordQualifier","","","UPPERCASE","","The number of this version of the Inclusion/Exclusion criteria. May be omitted if there is only one version.","","","","","",""
"Y","General__Observations","VISITNUM","","Visit Number","10","N","8","8.1","float","","Exp","Assigned","Timing","","","","Clinical encounter number. Numeric version of VISIT, used for sorting.","Clinical encounter number. Numeric version of VISIT, used for sorting.","","src.vis_id","Y","","",""
"Y","General__Observations","VISIT","","Visit Name","20","C","40","","text","","Perm","","Timing","","","UPPERCASE","Protocol-defined description of a clinical encounter.","Protocol-defined description of a clinical encounter.","","","","","",""
"Y","General__Observations","VISITDY","","Planned Study Day of Visit","30","N","8","","integer","","Perm","Assigned","Timing","","","","Based on TV.VISITDY","Planned study day of VISIT. Should be an integer.","","","","","",""
"Y","General__Observations","TAETORD","","Planned Order of Element within Arm","40","N","8","","integer","","Perm","","Timing","","","","Number that gives the planned order of the Element within the Arm (see Trial Arms, Section 3.2.2 ).","Number that gives the planned order of the Element within the Arm (see Trial Arms, Section 3.2.2 ).","","","","","",""
"Y","General__Observations","EPOCH","","Epoch","50","C","40","","text","EPOCH","Perm","Protocol","Timing","(EPOCH)","","UPPERCASE","Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).","Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).","","","","","",""
"Y","General__Observations","__DTC","collection_datetime","Date/Time of Collection","60","C","64","","datetime","","Exp","","Timing","ISO 8601","","UPPERCASE DATETIME","Collection date and time of an observation represented in IS0 8601 character format.","Collection date and time of an observation represented in IS0 8601 character format.","Y","","Y","","Y",""
"Y","General__Observations","__STDTC","start_datetime","Start Date/Time of Observation","70","C","64","","datetime","","Exp","","Timing","ISO 8601","","UPPERCASE DATETIME","Start date/time of an observation represented in IS0 8601 character format.","Start date/time of an observation represented in IS0 8601 character format.","Y","","Y","","Y",""
"Y","General__Observations","__ENDTC","end_datetime","End Date/Time of Observation","80","C","64","","datetime","","Perm","CRF","Timing","ISO 8601","","UPPERCASE DATETIME","End date/time of the observation represented in IS0 8601 character format.","End date/time of the observation represented in IS0 8601 character format.","Y","","Y","","Y",""
"Y","General__Observations","__DY","","Study Day of Visit/Collection/Exam","90","N","8","","integer","","Perm","Derived","Timing","","","","Actual study day of visit/collection/exam expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","Actual study day of visit/collection/exam expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","","","","","",""
"Y","General__Observations","__STDY","","Study Day of Start of Observation","100","N","8","","integer","","Perm","Derived","Timing","","","","Actual study day of start of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","Actual study day of start of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","","","","","",""
"Y","General__Observations","__ENDY","","Study Day of End of Observation","110","N","8","","integer","","Perm","Derived","Timing","","","","Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.","","","","","",""
"Y","General__Observations","__DUR","","Duration","120","C","64","","text","","Perm","CRF","Timing","ISO 8601","","UPPERCASE DURATION","Collected duration of an event, intervention, or finding represented in ISO 8601 character format. Used only if collected on the CRF and not derived.","Collected duration of an event, intervention, or finding represented in ISO 8601 character format. Used only if collected on the CRF and not derived.","","","","","",""
"Y","General__Observations","__TPT","time_point","Planned Time Point Name","130","C","80","","text","","Perm","","Timing","","","UPPERCASE","Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and --TPTREF.","Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and -- TPTREF.","Y","","Y","","Y",""
"Y","General__Observations","__TPTNUM","","Planned Time Point Number","140","N","8","8.1","float","","Perm","","Timing","","","","Numeric version of planned time point used in sorting.","Numeric version of planned time point used in sorting.","Y","","Y","","Y",""
"Y","General__Observations","__ELTM","elapsed_time","Planned Elapsed Time from Time Point Ref","150","C","64","","text","","Perm","","Timing","ISO 8601","","UPPERCASE DURATION","Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.","Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.","Y","","Y","","Y",""
"Y","General__Observations","__TPTREF","","Time Point Reference","160","C","40","","text","","Perm","","Timing","","","UPPERCASE","Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.","Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.","Y","","Y","","Y",""
"Y","General__Observations","__RFTDTC","","Date/Time of Reference Time Point","170","C","64","","datetime","","Perm","","Timing","ISO 8601","","UPPERCASE DATETIME","Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.","Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.","Y","","Y","","Y",""
"Y","General__Observations","__STRF","","Start Relative to Reference Period","180","C","20","","text","STENRF","Perm","","Timing","(STENRF)","","UPPERCASE","Identifies the start of the observation as being before, during, or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.","Identifies the start of the observation as being before, during, or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics. Note: This variable will be deprecated (phased out) in a future (post SDTM v1.4) release. The functionality of this variable can be replaced by the use of - -STRTPT with --STTPT = RFSTDTC.","Y","","Y","","",""
"Y","General__Observations","__ENRF","","End Relative to Reference Period","190","C","20","","text","STENRF","Perm","","Timing","(STENRF)","","UPPERCASE","Identifies the end of the observation as being before, during or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.","Identifies the end of the observation as being before, during or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics. Note: This variable will be deprecated (phased out) in a future (post SDTM v1.4) release. The functionality of this variable can be replaced by the use of - -ENRTPT with --ENTPT = RFENDTC.","Y","","Y","","",""
"Y","General__Observations","__EVLINT","","Evaluation Interval","200","C","64","","text","","Perm","","Timing","ISO 8601","","UPPERCASE DURATION","Duration of interval associated with an observation such as a finding --TESTCD, represented in ISO 8601 character format. Example: -P2M to represent a period of the past 2 months as the evaluation interval for a question from a questionnaire such as SF-36.","Duration of interval associated with an observation such as a finding -- TESTCD, represented in ISO 8601 character format. Example: -P2M to represent a period of the past 2 months as the evaluation interval for a question from a questionnaire such as SF-36.","Y","","Y","","",""
"Y","General__Observations","__EVINTX","","Evaluation Interval Text","210","C","40","","text","","Perm","CRF","Timing","","","UPPERCASE","","Evaluation interval associated with an observation, where the interval is not able to be represented in ISO 8601 format. Examples: LIFETIME, LAST NIGHT, RECENTLY, OVER THE LAST FEW WEEKS.","Y","","Y","","",""
