basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;xmlcodelist_multi;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;class_table;class_column;map_var_flag;fixed_mapping;include_in_raw;nn_internal;value_lvl_where_cols;value_lvl_label_col;value_lvl_collect_ct_val;value_lvl_ct_cdlist_id_col;enrich_build_order;enrich_rule;xmlcodelistvalues
Y;FA;FATESTCD;Findings About Test Short Name;150;C;8;;text;FATESTCD;;Req;Assigned;Assigned;Sponsor;Topic;(FATESTCD);;UPPERCASE;;;"Short name of the measurement, test, or examination described in FATEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FATESTCD cannot be longer than 8 characters, nor can it start with a number (e.g. ""1TEST""). FATESTCD cannot contain characters other than letters, numbers, or underscores. Example: SEV, OCCUR.";FINDINGS;__TESTCD;Y;;Y;;;;;;;;
Y;FA;FATEST;Findings About Test Name;160;C;40;;text;FATEST;;Req;Assigned;Assigned;Sponsor;Synonym Qualifier;(FATEST);;MIXEDCASE;;;Verbatim name of the test or examination used to obtain the measurement or finding. The value in FATEST cannot be longer than 40 characters. Examples: Severity/Intensity, Occurrence;FINDINGS;__TEST;Y;;Y;;;;;;;;
Y;FA;FAOBJ;Object of the Observation;170;C;200;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Used to describe the object or focal point of the findings observation that is represented by --TEST. Examples: the term (such as Acne) describing a clinical sign or symptom that is being measured by a Severity test, or an event such as VOMIT where the volume of Vomit is being measured by a VOLUME test.;FINDINGS;__OBJ;Y;;Y;;;;;;;;
Y;FA;FACAT;Category for Findings About;180;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of related records. Examples: GERD, PRE-SPECIFIED AE.;FINDINGS;__CAT;Y;;Y;;;;;;;;
Y;FA;FASCAT;Subcategory for Findings About;190;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;A further categorization of FACAT.;FINDINGS;__SCAT;Y;;Y;;;;;;;;
Y;FA;FAORRES;Result or Finding in Original Units;200;C;200;;text;;;Exp;;;;Result Qualifier;;;UPPERCASE;;;Result of the test as originally received or collected.;FINDINGS;__ORRES;Y;;Y;;FATESTCD;FATEST;;;;;
Y;FA;FAORRESU;Original Units;210;C;40;;text;UNIT;;Perm;;;;Variable Qualifier;(UNIT);;MIXEDCASE;;;Original units in which the data were collected. The unit for FAORRES.;FINDINGS;__ORRESU;;unitcoll;Y;;FATESTCD;FATEST;Y;;;;
;FA;FAORNRLO;Normal Range Lower Limit-Original Units;220;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;;FINDINGS;__ORNRLO;Y;;Y;;;;;;;;
;FA;FAORNRHI;Normal Range Upper Limit-Original Units;230;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;;FINDINGS;__ORNRHI;Y;;Y;;;;;;;;
Y;FA;FASTRESC;Character Result/Finding in Std Format;240;C;200;;text;;;Exp;Derived;Derived;Sponsor;Result Qualifier;;FAORRES converted into standard unit;UPPERCASE;;;"Contains the result value for all findings, copied or derived from FAORRES in a standard format or standard units. FASTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in FASTRESN. For example, if a test has results ""NONE"", ""NEG"", and ""NEGATIVE"" in FAORRES and these results effectively have the same meaning; they could be represented in standard format in FASTRESC as ""NEGATIVE"".";FINDINGS;__STRESC;Y;;Y;;;;;;70;sdtme_std_res_v$$;
Y;FA;FASTRESN;Numeric Result/Finding in Standard Units;250;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Result Qualifier;;FAORRES converted into standard unit;;;;"Used for continuous or numeric results or findings in standard format; copied in numeric format from FASTRESC. FASTRESN should store all numeric test results or findings.";FINDINGS;__STRESN;;;;;;;;;70;sdtme_std_res_v$$;
Y;FA;FASTRESU;Standard Units;260;C;40;;text;UNIT;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;;Standardized unit used for FASTRESC and FASTRESN.;FINDINGS;__STRESU;;;;;;;;;70;sdtme_std_res_v$$;
;FA;FASTNRLO;Normal Range Lower Limit-Standard Units;270;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Variable Qualifier;;FAORNRLO converted to standard unit (FASTRESU);;;FAORNRLO converted to standard unit (FASTRESU);;FINDINGS;__STNRLO;;;;;;;;;70;sdtme_std_res_v$$;
;FA;FASTNRHI;Normal Range Upper Limit-Standard Units;280;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Variable Qualifier;;FAORNRHI converted to standard unit (FASTRESU);;;FAORNRHI converted to standard unit (FASTRESU);;FINDINGS;__STNRHI;;;;;;;;;70;sdtme_std_res_v$$;
;FA;FASTNRC;Reference Range for Char Rslt-Std Units;290;C;40;;text;;;Perm;eDT;Collected;Vendor;Variable Qualifier;;;UPPERCASE;;;"For normal range values that are character in ordinal scale or if categorical ranges were supplied (e.g., ""-1 to +1"", ""NEGATIVE TO TRACE"").";FINDINGS;__STNRC;Y;;Y;;;;;;;;
;FA;FANRIND;Reference Range Indicator;300;C;20;;text;NRIND;;Perm;Derived;Derived;Sponsor;Variable Qualifier;(NRIND);If FAORRESN > FAORNRHI then FANRIND=HIGH. If FAORRESN < FAORNRLO then FANRIND=LOW. If FAORRESN between FAORNRLO and FAORNRHI then FANRIND=NORMAL.;UPPERCASE;;;1. Indicates where the value falls with respect to reference range defined by LBORNRLO and LBORNRHI, LBSTNRLO and LBSTNRHI, or by LBSTNRC. Examples: NORMAL, ABNORMAL, HIGH, LOW. 2. Sponsors should specify in the study metadata (Comments column in the define.xml) whether LBNRIND refers to the original or standard reference ranges and results. 3. Should not be used to indicate clinical significance.;FINDINGS;__NRIND;Y;;Y;;;;;;;;
Y;FA;FASTAT;Completion Status;310;C;40;;text;ND;;Perm;Derived;Derived;Sponsor;Record Qualifier;(ND);Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF;UPPERCASE;;;Used to indicate that the measurement was not done. Should be null if a result exists in FAORRES.;FINDINGS;__STAT;Y;;Y;;;;;;;;
Y;FA;FAREASND;Reason Not Performed;320;C;200;;text;;;Perm;Derived;Derived;Sponsor;Record Qualifier;;Set to NOT COLLECTED if FASTAT is set to NOT DONE;UPPERCASE;;;Describes why a question was not answered. Example: subject refused. Used in conjunction with FASTAT when value is NOT DONE.;FINDINGS;__REASND;Y;;Y;;;;;;;;
Y;FA;FANAM;Laboratory/Vendor Name;330;C;40;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Name or identifier of the laboratory or vendor who provided the test results.;FINDINGS;__NAM;Y;;Y;;;;;;;;
;FA;FASPEC;Specimen Material Type;340;C;80;;text;SPECTYPE;;Perm;;;;Record Qualifier;(SPECTYPE);;UPPERCASE;;;Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE, DNA, RNA.;FINDINGS;__SPEC;Y;;Y;;;;;;;;
Y;FA;FALOC;Location of the Finding About;350;C;100;;text;LOC;;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;;Used to specify the location of the clinical evaluation. Example: ARM;FINDINGS;__LOC;Y;;Y;;;;;;;;
Y;FA;FALAT;Laterality;360;C;40;;text;LAT;;Perm;;;;Variable Qualifier;(LAT);;UPPERCASE;;;Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL;FINDINGS;__LAT;Y;;Y;;;;;;;;
;FA;FAMETHOD;Method of Test or Examination;370;C;80;;text;METHOD;;Perm;eDT;Collected;Vendor;Record Qualifier;(METHOD);;UPPERCASE;;;;FINDINGS;__METHOD;Y;;Y;;;;;;;;
;FA;FAANMETH;Analysis Method;380;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence).;FINDINGS;__ANMETH;;;;;;;;;;;
Y;FA;FALOBXFL;Last Observation Before Exposure Flag;390;C;1;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;"Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. The value should be ""Y"" or null.";FINDINGS;__LOBXFL;;;;;;;;;;;Y
Y;FA;FABLFL;Baseline Flag;400;C;2;;text;NY;;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);Baseline flag set to Y when the assessment is collected at the visit marked as baseline in the trial flowchart;UPPERCASE;;;"Indicator used to identify a baseline value. The value should be ""Y"" or null.";FINDINGS;__BLFL;;;;;;;;;20;sdtme_std_blfl_v$$;Y
Y;FA;FAEVAL;Evaluator;410;C;40;;text;EVAL;;Perm;;;;Record Qualifier;(EVAL);;UPPERCASE;;;Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: INVESTIGATOR, ADJUDICATION COMMITTEE, VENDOR.;FINDINGS;__EVAL;Y;;Y;;;;;;;;
;FA;FAEVALID;Evaluator Identifier;420;C;40;;text;MEDEVAL;;Perm;;;;Variable Qualifier;(MEDEVAL);;UPPERCASE;;;Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2;FINDINGS;__EVALID;Y;;Y;;;;;;;;
;FA;FAREPNUM;Repetition Number;430;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.;FINDINGS;__REPNUM;Y;;Y;;;;;;;;
;FA;ETCD;Element Code;440;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;90;sdtme_std_etcd_v$$;
;FA;ELEMENT;Description of Element;450;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;The name of the Element.;NN DEFINED;ELEMENT;;;;;;;;;90;sdtme_std_etcd_v$$;
Y;FA;VISITNUM;Visit Number;460;N;8;9,3;float;;;Exp;Protocol;Protocol;Sponsor;Timing;;;;;;1. Clinical encounter number. 2. Numeric version of VISIT, used for sorting.;TIMING;VISITNUM;Y;;Y;;;;;;;;
Y;FA;VISIT;Visit Name;470;C;40;;text;;;Perm;Protocol;Protocol;Sponsor;Timing;;;UPPERCASE;;;1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.;TIMING;VISIT;;;;;;;;;30;sdtme_std_visit_v$$;
Y;FA;VISITDY;Planned Study Day of Visit;480;N;8;;integer;;;Perm;Assigned;Assigned;Sponsor;Timing;;;;;Based on TV.VISITDY;Planned study day of the visit based upon RFSTDTC in Demographics.;TIMING;VISITDY;;;;;;;;;40;sdtme_std_visitdy_v$$;
Y;FA;TAETORD;Planned Order of Element within Arm;490;N;8;;integer;;;Perm;Protocol;Protocol;Sponsor;Timing;;;;;;Number that gives the planned order of the Element within the Arm for the element in which the assessment was made;TIMING;TAETORD;;;;;;;;;;;
;FA;EPOCH;Epoch;500;C;40;;text;EPOCH;;Perm;Protocol;Protocol;Sponsor;Timing;(EPOCH);;UPPERCASE;;Set based on the SE domain;Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).;TIMING;EPOCH;;;;;;;;;80;sdtme_std_epoch_v$$;
Y;FA;FADTC;Date/Time of Collection;510;C;64;;datetime;;;Perm;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;;TIMING;__DTC;Y;;Y;;;;;;;;
;FA;FAENDTC;End Date/Time of Observation;520;C;64;;datetime;;;Perm;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;End date/time of the observation represented in IS0 8601 character format.;TIMING;__ENDTC;Y;;Y;;;;;;;;
Y;FA;FADY;Study Day of Collection;530;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If FADTC GE RFSTDTC then FADY=FADTC-RFSTDTC+1; otherwise FADY=FADTC-RFSTDTC.";;;;1. Study day of collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.;TIMING;__DY;;;;;;;;;10;sdtme_std_dy_v$$;
;FA;FAENDY;Study Day of End of Observation;540;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If FAENDTC GE RFSTDTC then FAENDY=FAENDTC-RFSTDTC+1; otherwise FAENDY=FAENDTC-RFSTDTC.";;;;Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.;TIMING;__ENDY;;;;;;;;;10;sdtme_std_dy_v$$;
;FA;FATPT;Planned Time Point Name;550;C;80;;text;;;Perm;;;;Timing;;;UPPERCASE;;;Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and -- TPTREF.;TIMING;__TPT;Y;;Y;;;;;;;;
;FA;FATPTNUM;Planned Time Point Number;560;N;8;8,1;float;;;Perm;;;;Timing;;;;;;;TIMING;__TPTNUM;Y;;Y;;;;;;;;
;FA;FAELTM;Planned Elapsed Time from Time Point Ref;570;C;64;;text;;;Perm;;;;Timing;ISO 8601;;UPPERCASE DURATION;;;"Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.";TIMING;__ELTM;Y;;Y;;;;;;;;
;FA;FATPTREF;Time Point Reference;580;C;40;;text;;;Perm;;;;Timing;;;UPPERCASE;;;;TIMING;__TPTREF;Y;;Y;;;;;;;;
;FA;FARFTDTC;Date/Time of Reference Time Point;590;C;64;;datetime;;;Perm;;;;Timing;ISO 8601;;UPPERCASE DATETIME;;;Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.;TIMING;__RFTDTC;Y;;Y;;;;;;;;
;FAXB;CDMS_SUB_EVT_NUM;CDMS Repeat Sequence Number;10;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;;NN DEFINED;CDMS_SUB_EVT_NUM;;subevnum;Y;Y;;;;;;;
;FAXB;SRC_FIND_COLL_UNIT;CDW SRC Finding Collection Unit;20;C;80;;text;;;Perm;;;;Record Qualifier;;;;;;;NN DEFINED;SRC_FIND_COLL_UNIT;;unitcoll;Y;Y;;;;;;;
;FAXB;SRC_TOPIC_CD;CDW SRC Topic Code;30;C;200;;text;;;Perm;;;;Topic;;;;;;;NN DEFINED;SRC_TOPIC_CD;;;Y;Y;;;;;;;
;FAXB;TOPIC_CD;CDW Topic Code;40;C;80;;text;;;Perm;;;;Topic;;;;;;;NN DEFINED;TOPIC_CD;;topiccd;Y;Y;;;;;;;
;FAXB;STUDYID;Study Identifier;50;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;IDENTIFIERS;STUDYID;*;;Y;;;;;;;;
;FAXB;DOMAIN;Domain Abbreviation;60;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;FA;;UPPERCASE;;;Two-character abbreviation for the domain.;IDENTIFIERS;DOMAIN;*;;Y;;;;;;;;
;FAXB;USUBJID;Unique Subject Identifier;70;C;60;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Concatenation of STUDYID and DM.SUBJID;Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.;IDENTIFIERS;USUBJID;*;;Y;;;;;;;;
;FAXB;SPDEVID;Sponsor Device Identifier;80;C;80;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device;IDENTIFIERS;SPDEVID;Y;;Y;;;;;;;;
;FAXB;FASEQ;Sequence Number;90;N;8;;integer;;;Req;Assigned;Assigned;Sponsor;Identifier;;Sequential number identifying records within each USUBJID;;;;Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.;IDENTIFIERS;__SEQ;*;;Y;;;;;;;;
;FAXB;FAGRPID;Group ID;100;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Used to tie together a block of related records in a single domain for a subject.;IDENTIFIERS;__GRPID;Y;;Y;;;;;;;;
;FAXB;FAREFID;Reference ID;110;C;40;;text;;;Perm;;Collected;;Identifier;;;UPPERCASE;;;Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.;IDENTIFIERS;__REFID;Y;;Y;;;;;;;;
;FAXB;FASPID;Sponsor-Defined Identifier;120;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF.;IDENTIFIERS;__SPID;*;;Y;;;;;;;;
;FAXB;FALNKID;Link ID;130;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.;IDENTIFIERS;__LNKID;Y;;Y;;;;;;;;
;FAXB;FALNKGRP;Link Group ID;140;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;IDENTIFIERS;__LNKGRP;Y;;Y;;;;;;;;
;FAXB;FATESTCD;Findings About Test Short Name;150;C;8;;text;FATESTCD;;Req;Assigned;Assigned;Sponsor;Topic;(FATESTCD);;UPPERCASE;;;"Short name of the measurement, test, or examination described in FATEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FATESTCD cannot be longer than 8 characters, nor can it start with a number (e.g. ""1TEST""). FATESTCD cannot contain characters other than letters, numbers, or underscores. Example: SEV, OCCUR.";FINDINGS;__TESTCD;Y;;Y;;;;;;;;
;FAXB;FATEST;Findings About Test Name;160;C;40;;text;FATEST;;Req;Assigned;Assigned;Sponsor;Synonym Qualifier;(FATEST);;MIXEDCASE;;;Verbatim name of the test or examination used to obtain the measurement or finding. The value in FATEST cannot be longer than 40 characters. Examples: Severity/Intensity, Occurrence;FINDINGS;__TEST;Y;;Y;;;;;;;;
;FAXB;FAOBJ;Object of the Observation;170;C;200;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;;Used to describe the object or focal point of the findings observation that is represented by --TEST. Examples: the term (such as Acne) describing a clinical sign or symptom that is being measured by a Severity test, or an event such as VOMIT where the volume of Vomit is being measured by a VOLUME test.;FINDINGS;__OBJ;Y;;Y;;;;;;;;
;FAXB;FACAT;Category for Findings About;180;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of related records. Examples: GERD, PRE-SPECIFIED AE.;FINDINGS;__CAT;Y;;Y;;;;;;;;
;FAXB;FASCAT;Subcategory for Findings About;190;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;A further categorization of FACAT.;FINDINGS;__SCAT;Y;;Y;;;;;;;;
;FAXB;FAORRES;Result or Finding in Original Units;200;C;200;;text;;;Exp;;;;Result Qualifier;;;UPPERCASE;;;Result of the test as originally received or collected.;FINDINGS;__ORRES;Y;;Y;;FATESTCD;FATEST;;;;;
;FAXB;FAORRESU;Original Units;210;C;40;;text;UNIT;;Perm;;;;Variable Qualifier;(UNIT);;MIXEDCASE;;;Original units in which the data were collected. The unit for FAORRES.;FINDINGS;__ORRESU;;unitcoll;Y;;FATESTCD;FATEST;Y;;;;
;FAXB;FAORNRLO;Normal Range Lower Limit-Original Units;220;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;;FINDINGS;__ORNRLO;Y;;Y;;;;;;;;
;FAXB;FAORNRHI;Normal Range Upper Limit-Original Units;230;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;UPPERCASE;;;;FINDINGS;__ORNRHI;Y;;Y;;;;;;;;
;FAXB;FASTRESC;Character Result/Finding in Std Format;240;C;200;;text;;;Exp;Derived;Derived;Sponsor;Result Qualifier;;FAORRES converted into standard unit;UPPERCASE;;;"Contains the result value for all findings, copied or derived from FAORRES in a standard format or standard units. FASTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in FASTRESN. For example, if a test has results ""NONE"", ""NEG"", and ""NEGATIVE"" in FAORRES and these results effectively have the same meaning; they could be represented in standard format in FASTRESC as ""NEGATIVE"".";FINDINGS;__STRESC;Y;;Y;;;;;;70;sdtme_std_res_v$$;
;FAXB;FASTRESN;Numeric Result/Finding in Standard Units;250;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Result Qualifier;;FAORRES converted into standard unit;;;;"Used for continuous or numeric results or findings in standard format; copied in numeric format from FASTRESC. FASTRESN should store all numeric test results or findings.";FINDINGS;__STRESN;;;;;;;;;70;sdtme_std_res_v$$;
;FAXB;FASTRESU;Standard Units;260;C;40;;text;UNIT;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;;Standardized unit used for FASTRESC and FASTRESN.;FINDINGS;__STRESU;;;;;;;;;70;sdtme_std_res_v$$;
;FAXB;FASTNRLO;Normal Range Lower Limit-Standard Units;270;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Variable Qualifier;;FAORNRLO converted to standard unit (FASTRESU);;;FAORNRLO converted to standard unit (FASTRESU);;FINDINGS;__STNRLO;;;;;;;;;70;sdtme_std_res_v$$;
;FAXB;FASTNRHI;Normal Range Upper Limit-Standard Units;280;N;8;8,3;float;;;Perm;Derived;Derived;Sponsor;Variable Qualifier;;FAORNRHI converted to standard unit (FASTRESU);;;FAORNRHI converted to standard unit (FASTRESU);;FINDINGS;__STNRHI;;;;;;;;;70;sdtme_std_res_v$$;
;FAXB;FASTNRC;Reference Range for Char Rslt-Std Units;290;C;40;;text;;;Perm;eDT;Collected;Vendor;Variable Qualifier;;;UPPERCASE;;;"For normal range values that are character in ordinal scale or if categorical ranges were supplied (e.g., ""-1 to +1"", ""NEGATIVE TO TRACE"").";FINDINGS;__STNRC;Y;;Y;;;;;;;;
;FAXB;FANRIND;Reference Range Indicator;300;C;20;;text;NRIND;;Perm;Derived;Derived;Sponsor;Variable Qualifier;(NRIND);If FAORRESN > FAORNRHI then FANRIND=HIGH. If FAORRESN < FAORNRLO then FANRIND=LOW. If FAORRESN between FAORNRLO and FAORNRHI then FANRIND=NORMAL.;UPPERCASE;;;1. Indicates where the value falls with respect to reference range defined by LBORNRLO and LBORNRHI, LBSTNRLO and LBSTNRHI, or by LBSTNRC. Examples: NORMAL, ABNORMAL, HIGH, LOW. 2. Sponsors should specify in the study metadata (Comments column in the define.xml) whether LBNRIND refers to the original or standard reference ranges and results. 3. Should not be used to indicate clinical significance.;FINDINGS;__NRIND;Y;;Y;;;;;;;;
;FAXB;FASTAT;Completion Status;310;C;40;;text;ND;;Perm;Derived;Derived;Sponsor;Record Qualifier;(ND);Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF;UPPERCASE;;;Used to indicate that the measurement was not done. Should be null if a result exists in FAORRES.;FINDINGS;__STAT;Y;;Y;;;;;;;;
;FAXB;FAREASND;Reason Not Performed;320;C;200;;text;;;Perm;Derived;Derived;Sponsor;Record Qualifier;;Set to NOT COLLECTED if FASTAT is set to NOT DONE;UPPERCASE;;;Describes why a question was not answered. Example: subject refused. Used in conjunction with FASTAT when value is NOT DONE.;FINDINGS;__REASND;Y;;Y;;;;;;;;
;FAXB;FANAM;Laboratory/Vendor Name;330;C;40;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Name or identifier of the laboratory or vendor who provided the test results.;FINDINGS;__NAM;Y;;Y;;;;;;;;
;FAXB;FASPEC;Specimen Material Type;340;C;80;;text;SPECTYPE;;Perm;;;;Record Qualifier;(SPECTYPE);;UPPERCASE;;;Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE, DNA, RNA.;FINDINGS;__SPEC;Y;;Y;;;;;;;;
;FAXB;FALOC;Location of the Finding About;350;C;100;;text;LOC;;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;;Used to specify the location of the clinical evaluation. Example: ARM;FINDINGS;__LOC;Y;;Y;;;;;;;;
;FAXB;FALAT;Laterality;360;C;40;;text;LAT;;Perm;;;;Variable Qualifier;(LAT);;UPPERCASE;;;Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL;FINDINGS;__LAT;Y;;Y;;;;;;;;
;FAXB;FAMETHOD;Method of Test or Examination;370;C;80;;text;METHOD;;Perm;eDT;Collected;Vendor;Record Qualifier;(METHOD);;UPPERCASE;;;;FINDINGS;__METHOD;Y;;Y;;;;;;;;
;FAXB;FAANMETH;Analysis Method;380;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence).;FINDINGS;__ANMETH;;;;;;;;;;;
;FAXB;FALOBXFL;Last Observation Before Exposure Flag;390;C;1;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;"Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. The value should be ""Y"" or null.";FINDINGS;__LOBXFL;;;;;;;;;;;Y
;FAXB;FABLFL;Baseline Flag;400;C;2;;text;NY;;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);Baseline flag set to Y when the assessment is collected at the visit marked as baseline in the trial flowchart;UPPERCASE;;;"Indicator used to identify a baseline value. The value should be ""Y"" or null.";FINDINGS;__BLFL;;;;;;;;;20;sdtme_std_blfl_v$$;Y
;FAXB;FAEVAL;Evaluator;410;C;40;;text;EVAL;;Perm;;;;Record Qualifier;(EVAL);;UPPERCASE;;;Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: INVESTIGATOR, ADJUDICATION COMMITTEE, VENDOR.;FINDINGS;__EVAL;Y;;Y;;;;;;;;
;FAXB;FAEVALID;Evaluator Identifier;420;C;40;;text;MEDEVAL;;Perm;;;;Variable Qualifier;(MEDEVAL);;UPPERCASE;;;Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2;FINDINGS;__EVALID;Y;;Y;;;;;;;;
;FAXB;FAREPNUM;Repetition Number;430;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.;FINDINGS;__REPNUM;Y;;Y;;;;;;;;
;FAXB;ETCD;Element Code;440;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;90;sdtme_std_etcd_v$$;
